facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RESIDENTIAL CARE ELDERLY,415600133,ATRIA PARK OF SAN MATEO,WG HILLSDALE SH LP; ATRIA MANAGEMENT CO LLC,"BROOKS, THOMAS KIRK",(650) 378-3000,2883 S NORFOLK ST,SAN MATEO,CA,94403,SAN MATEO,14,175,ON PROBATION,6/28/2001,,05252025
RESIDENTIAL CARE ELDERLY,336426083,ATRIA PARK OF VINTAGE HILLS,VENTAS AOC OPERATING HOLDINGS; ATRIA MANAGEMENT CO,MARIANO Q. HERNANDEZ,(951) 506-5555,41780 BUTTERFIELD STAGE RD,TEMECULA,CA,92592,RIVERSIDE,18,143,LICENSED,6/30/2014,,05252025
RESIDENTIAL CARE ELDERLY,331880734,ATRIA RANCHO MIRAGE,"AOC CA OPCO GP PTR,GP OF AOC RANCHO MIRAGE; ATRIA",MONIQUE MOREIRA,(760) 770-7737,34560 BOB HOPE DRIVE,RANCHO MIRAGE,CA,92270,RIVERSIDE,18,142,LICENSED,9/24/2019,,05252025
RESIDENTIAL CARE ELDERLY,317005428,ATRIA ROCKLIN,ARHC CAROCCA01 TRS LLC; ATRIA MANAGEMENT CO LLC,DANA STANSEL,(916) 435-8800,3201 SANTA FE WAY,ROCKLIN,CA,95765,PLACER,59,105,LICENSED,9/3/2014,,05252025
RESIDENTIAL CARE ELDERLY,306000347,ATRIA SAN JUAN,WG CHATEAU SAN JUAN SH LP; ATRIA MANAGEMENT CO LLC,JAMES CRADDOCK,(949) 661-1220,32353 SAN JUAN CREEK RD,SAN JUAN CAPISTRANO,CA,92675,ORANGE,22,140,LICENSED,5/28/1996,,05252025
RESIDENTIAL CARE ELDERLY,197608685,ATRIA SANTA CLARITA,ARHC SVSCLSA01 TRS LLC; ATRIA MANAGEMENT CO LLC,APRIL PRINCESA,(661) 254-9933,24431 LYONS AVE,SANTA CLARITA,CA,91321,LOS ANGELES,31,160,LICENSED,2/2/2015,,05252025
RESIDENTIAL CARE ELDERLY,306006102,"ATRIA SENIOR HOMES, INC.","ATRIA SENIOR HOMES, INC.","CARRILLO, ROWENA MARANTAL",(213) 281-1439,24272 LYSANDA DRIVE,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,9/8/2022,,05252025
RESIDENTIAL CARE ELDERLY,435200731,ATRIA SUNNYVALE,WG SUNNYVALE SH LP; ATRIA MANAGEMENT CO LLC,FLAVIO SILVA,(408) 738-3410,175 E REMINGTON DR,SUNNYVALE,CA,94087,SANTA CLARA,26,160,LICENSED,6/25/1999,,05252025
RESIDENTIAL CARE ELDERLY,216800331,ATRIA TAMALPAIS CREEK,WG TAMALPAIS CREEK SH LP; ATRIA MANAGEMENT CO LLC,"TANCHOCO, CORRINE",(415) 892-0944,853 TAMALPAIS AVE,NOVATO,CA,94947,MARIN,21,180,LICENSED,7/25/1996,,05252025
RESIDENTIAL CARE ELDERLY,197608606,ATRIA TARZANA,VTR TARZANA GP LLC; ATRIA MANAGEMENT CO LLC,"RAFAT, SHAKEB",(818) 578-4820,5325 ETIWANDA AVENUE,TARZANA,CA,91356,LOS ANGELES,31,136,CLOSED,11/16/2015,8/20/2021,05252025
RESIDENTIAL CARE ELDERLY,197610142,ATRIA TARZANA,"WG TARZANA, LP; ATRIA MANAGEMENT COMPANY, LLC",IRMA ARTEAGA,(818) 483-6827,5325 ETIWANDA AVENUE,TARZANA,CA,91356,LOS ANGELES,31,136,LICENSED,8/20/2021,,05252025
RESIDENTIAL CARE ELDERLY,075600353,ATRIA VALLEY VIEW,WG VALLEY VIEW SH LP; ATRIA MANAGEMENT CO LLC,"BINDRA, MONIQUE S",(925) 937-7300,1228 ROSSMOOR PKWY,WALNUT CREEK,CA,94595,CONTRA COSTA,15,153,LICENSED,6/25/1999,,05252025
RESIDENTIAL CARE ELDERLY,075600352,ATRIA WALNUT CREEK,WG MONTEGO HEIGHTS SH LP; ATRIA MANAGEMENT CO LLC,KELLI GREENE,(925) 938-6611,1400 MONTEGO,WALNUT CREEK,CA,94598,CONTRA COSTA,15,200,ON PROBATION,6/25/1999,,05252025
RESIDENTIAL CARE ELDERLY,435200605,ATRIA WILLOW GLEN,WG WILLOW GLEN SH LP; ATRIA MANAGEMENT CO LLC,"GURSU, UGUR (KURT)",(408) 266-1660,1660 GATON DR,SAN JOSE,CA,95125,SANTA CLARA,26,63,LICENSED,9/15/1998,,05252025
RESIDENTIAL CARE ELDERLY,336426470,ATTENTIVE MANOR,"ATTENTIVE MANOR, INC.",MATTHEW SIEGEL,(760) 251-4330,66-338 FOURTH ST.,DESERT HOT SPRINGS,CA,92240,RIVERSIDE,18,6,CLOSED,7/3/2015,6/13/2022,05252025
RESIDENTIAL CARE ELDERLY,331880895,ATTENTIVE MANOR II,ATTENTIVE MANOR INC.,"PECK, CHRISTOPHER",(760) 620-5915,31221 EL TORO RD,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,6,LICENSED,7/21/2020,,05252025
RESIDENTIAL CARE ELDERLY,107209378,"ATTENTIVE SENIOR CARE III, LLC","ATTENTIVE SENIOR CARE III, LLC","HOLLAND, PAULETTE",(559) 940-7065,85 W ATHENS AVE.,CLOVIS,CA,93611,FRESNO,24,6,LICENSED,1/29/2024,,05252025
RESIDENTIAL CARE ELDERLY,107209013,"ATTENTIVE SENIOR CARE II, LLC","ATTENTIVE SENIOR CARE II, LLC","HOLLAND, LAWRENCE",(916) 996-6215,6149 E LOWE AVE,FRESNO,CA,93727,FRESNO,24,6,LICENSED,11/13/2019,,05252025
RESIDENTIAL CARE ELDERLY,107209379,ATTENTIVE SENIOR CARE IV LLC,ATTENTIVE SENIOR CARE IV LLC,"HOLLAND, PAULETTE",(559) 540-7235,1829 S FARIWAY AVENUE,FRESNO,CA,93727,FRESNO,24,6,LICENSED,2/29/2024,,05252025
RESIDENTIAL CARE ELDERLY,107206884,"ATTENTIVE SENIOR CARE, LLC","ATTENTIVE SENIOR CARE, LLC","HOLLAND, LAWRENCE",(559) 449-3566,36 E. TUOLUMNE STREET,FRESNO,CA,93706,FRESNO,24,6,LICENSED,4/6/2015,,05252025
RESIDENTIAL CARE ELDERLY,247209209,ATWATER RESIDENTIAL CARE FACILITY,"ABUNDANT RESIDENTIAL LIVING SERVICES, INC","JOHNSON, JESSICA",(209) 430-1688,1691 JOE SILVA AVENUE,ATWATER,CA,95301,MERCED,24,5,LICENSED,4/20/2022,,05252025
RESIDENTIAL CARE ELDERLY,197609791,ATWATER VILLAGE SOUTH,JOCELYN'S LOVING PLACE CORP,"ESPIRITU, JOCELYN",(323) 665-6893,3454 PERLITA AVE,LOS ANGELES,CA,90039,LOS ANGELES,31,6,LICENSED,5/24/2019,,05252025
RESIDENTIAL CARE ELDERLY,331880784,AUBREY'S VILLAS,AUBREY'S VILLAS INC.,JOSEPH JHAY GATUS,(760) 832-7884,68640 SENORA ROAD,CATHEDRAL CITY,CA,92234,RIVERSIDE,18,10,LICENSED,10/25/2019,,05252025
RESIDENTIAL CARE ELDERLY,317005092,AUBURN CREEKSIDE VILLA,"LANCASTER, THERESE M.","LANCASTER, THERESE M.",(530) 823-5273,695 DAIRY ROAD,AUBURN,CA,95603,PLACER,59,15,LICENSED,10/16/2012,,05252025
RESIDENTIAL CARE ELDERLY,315002934,AUBURN GLEN SENIOR LIVING,AUBURN RAVINE HOLDINGS LLC; CALIFORNIA SENIOR LIVI,"DOWLING, ANDREA",(530) 823-6131,750 AUBURN RAVINE ROAD,AUBURN,CA,95603,PLACER,59,25,CLOSED,,3/20/2024,05252025
RESIDENTIAL CARE ELDERLY,317000174,AUBURN RAVINE TERRACE,CONGREGATIONAL CH RTRMT CMTY INC;GLOCKSTON ALF LLC,BILL HUNT,(530) 823-8339,750 AUBURN RAVINE ROAD,AUBURN,CA,95603,PLACER,59,25,CLOSED,12/19/1994,4/1/2025,05252025
RESIDENTIAL CARE ELDERLY,315920196,AUBURN RAVINE TERRACE ASSISTED LIVING,GLOCKSTON ALF LLC,"JONES, JAMIE",(530) 823-6131,750 AUBURN RAVINE ROAD,AUBURN,CA,95603,PLACER,59,25,LICENSED,4/1/2025,,05252025
RESIDENTIAL CARE ELDERLY,312700344,AUBURN VALLEY SENIOR LIVING,AUBURN VALLEY SENIOR LIVING LLC,"CIRIC, ADINA",(530) 388-6065,3800 LORAY LANE,AUBURN,CA,95602,PLACER,59,6,CLOSED,11/16/2018,2/7/2022,05252025
RESIDENTIAL CARE ELDERLY,315002841,AUBURN VALLEY SENIOR LIVING,"SUNGARDEN VILLA, INC.","DOCMANOV, ANAMARIA",(916) 757-7057,3800 LORAY LANE,AUBURN,CA,95602,PLACER,59,6,LICENSED,2/15/2022,,05252025
RESIDENTIAL CARE ELDERLY,547201900,AUGDON SENIOR CARE HOME,"AUGDON, FRANCES & HATTON, IRENE",RENEE ARREGUIN (AGUILAR),(559) 303-8783,2610 S. DOLLNER STREET,VISALIA,CA,93277,TULARE,24,4,LICENSED,4/5/2005,,05252025
RESIDENTIAL CARE ELDERLY,547203991,AUGDON SENIOR CARE HOME #2,"AUGDON, FRANCES","ARREGUIN, RENEE",(559) 684-8831,134 COLORADO AVE,TULARE,CA,93274,TULARE,24,4,LICENSED,7/23/2007,,05252025
RESIDENTIAL CARE ELDERLY,547209224,AUGDON SENIOR CARE HOME #3,"AUGDON CARE HOMES,INC.","AUGDON, FRANCES",(559) 592-1875,216 ALBERT AVENUE,EXETER,CA,93221,TULARE,24,4,LICENSED,8/30/2022,,05252025
RESIDENTIAL CARE ELDERLY,306001511,AUGUSTIN GARDENS,"FISK, RYAN & TYANA","FISK, RYAN & TYANA",(949) 916-3552,24361 AUGUSTIN,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,6/27/2002,,05252025
RESIDENTIAL CARE ELDERLY,198320576,"AUGUSTINE FAMILY ELDER CARE, INC.","AUGUSTINE FAMILY ELDER CARE, INC.","AUGUSTINE, ANDREA A",(310) 350-2159,544 ST. JOHN PL.,INGLEWOOD,CA,90302,LOS ANGELES,11,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,347001980,AUGUSTUS CARE HOME,"PINTEA, OCTAVIAN","PINTEA, OCTAVIAN",(916) 863-6867,5105 SCHUYLER DRIVE,CARMICHAEL,CA,95608,SACRAMENTO,59,6,CLOSED,6/18/2002,2/22/2021,05252025
RESIDENTIAL CARE ELDERLY,342700927,"AUGUSTUS ELDER CARE HOME, LLC","AUGUSTUS ELDER CARE HOME, LLC","ARAGON, LEILANI",(925) 922-4561,5105 SCHUYLER DR,CARMICHAEL,CA,95608,SACRAMENTO,59,6,LICENSED,2/23/2021,,05252025
RESIDENTIAL CARE ELDERLY,315002219,AUNT DOTTIE'S PLACE,"STRYKER, DEBI","STRYKER, DEBI",(916) 773-2514,224 SAGEMOOR COURT,ROSEVILLE,CA,95678,PLACER,59,6,CLOSED,7/6/2009,7/28/2022,05252025
RESIDENTIAL CARE ELDERLY,315002901,AUNT DOTTIE'S PLACE,AUNT DOTTIE'S PLACE L.L.C.,"KIDANE, SELAM",(916) 773-2514,224 SAGEMOOR COURT,ROSEVILLE,CA,95678,PLACER,59,6,LICENSED,7/28/2022,,05252025
RESIDENTIAL CARE ELDERLY,345920235,AUNT DOTTIE'S PLACE 2,AUNT DOTTIE'S PLACE 2,"KIDANE, SELAM",(707) 480-0342,6934 HICKORY AVENUE,ORANGEVALE,CA,95662,SACRAMENTO,59,6,LICENSED,4/11/2025,,05252025
RESIDENTIAL CARE ELDERLY,198320430,AUNT MONA'S CARE HOME,"OCEAN BREEZE CARE HOME, LLC",MONA MCCALLISTER,(310) 721-9667,2522 SUNNYSIDE RIDGE RD,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,11,6,LICENSED,5/28/2024,,05252025
RESIDENTIAL CARE ELDERLY,198203584,"AUNT MONA'S CARE HOME, INC.","AUNT MONA'S CARE HOME, INC.",MONA MCCALLISTER,(310) 833-3131,2522 SUNNYSIDE RIDGE RD.,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,11,6,CLOSED,7/10/2002,5/27/2024,05252025
RESIDENTIAL CARE ELDERLY,198602543,AURA,LOVE & CARE RESIDENCE CORP,"PINCHES III, JOHN L",(310) 933-8275,5602 WHITEWOOD AVE,LAKEWOOD,CA,90712,LOS ANGELES,28,6,CLOSED,9/18/2017,8/13/2021,05252025
RESIDENTIAL CARE ELDERLY,197610747,AURA RETREAT ASSISTED LIVING,AURA RETREAT ASSISTED LIVING LLC,"PAPOYAN, ANNA",(657) 200-9124,9314 TAMPA AVE.,NORTHRIDGE,CA,91324,LOS ANGELES,31,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,342701681,AURORA'S ELDERLY CARE NETWORK 1,AURORA'S ELDERLY CARE NETWORK,"DEPOSITAR, GRANT F.",(916) 685-8075,8661 GRIMSBY COURT,ELK GROVE,CA,95624,SACRAMENTO,27,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,019201219,AURORA ABSOLUTE CARE HOME INC,AURORA ABSOLUTE CARE HOME INC,"EBIDO, AURORA",(510) 719-7695,14160 ACAPULCO ROAD,SAN LEANDRO,CA,94577,ALAMEDA,15,6,CLOSED,10/31/2023,4/2/2024,05252025
RESIDENTIAL CARE ELDERLY,365530269,AURORA COMFORT CARE HOME INC,AURORA COMFORT CARE HOME INC,"AMIRJANYAN, GEORGI",(909) 833-8333,5659 CAROL AVE,RANCHO CUCAMONGA,CA,91701,SAN BERNARDINO,56,6,LICENSED,1/24/2025,,05252025
RESIDENTIAL CARE ELDERLY,197609606,AURORA HOME FOR SENIORS,AURORA HOME FOR SENIORS,"MKRTCHYAN, ANI HASMIK",(818) 257-1457,16346 SHAMHART DRIVE,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,LICENSED,12/17/2018,,05252025
RESIDENTIAL CARE ELDERLY,197610736,AURORA LEMARSH,AURORA LEMARSH LLC,"TADEVOSYAN, LUSINE",(424) 499-9888,19724 LEMARSH STREET,CHATSWORTH,CA,91311,LOS ANGELES,31,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,306000826,AURORA PALMS,"AURORA SENIOR LIVING, INC.",CAROLYN DUNN,(949) 837-8494,28282 LA CALETA,MISSION VIEJO,CA,92692,ORANGE,22,6,CLOSED,10/26/1998,9/15/2022,05252025
RESIDENTIAL CARE ELDERLY,197610692,AURORA SENIOR LIVING,AURORA SENIOR LIVING,"TADEVOSYAN, LUSINE",(424) 499-9888,15918 NAPA STREET,NORTH HILLS,CA,91343,LOS ANGELES,31,6,LICENSED,2/7/2025,,05252025
RESIDENTIAL CARE ELDERLY,374601040,AURY'S HOME CARE,MORAGA-HOPE & MACDANIEL PARTNERSHIP,AURY MCDANIEL,(619) 656-9798,1068 CAMINO MIEL,CHULA VISTA,CA,91910,SAN DIEGO,08,6,LICENSED,4/9/2001,,05252025
RESIDENTIAL CARE ELDERLY,365530100,AUTUMN BLISS HOME,AUTUMN BLISS HOME LLC,"STINSON, NICOLE",(909) 452-7417,17885 ATHOL ST,FONTANA,CA,92335,SAN BERNARDINO,56,6,LICENSED,9/19/2023,,05252025
RESIDENTIAL CARE ELDERLY,197610091,AUTUMN ELDER CARE,AM3 CORPORATION,"OLIVAS, MYLINE",(818) 718-9634,10055 SUNNYBRAE AVE,CHATSWORTH,CA,91311,LOS ANGELES,31,6,LICENSED,11/20/2020,,05252025
RESIDENTIAL CARE ELDERLY,385600141,AUTUMN GLOW,"AUTUMN GLOW ALZHEIMER'S HOME, INC.",KIT FONG,(415) 934-1622,654 GROVE STREET,SAN FRANCISCO,CA,94102,SAN FRANCISCO,14,15,LICENSED,6/26/2001,,05252025
RESIDENTIAL CARE ELDERLY,306000258,AUTUMN GROVE CARE HOME,"O'CONNELL, PATRICIA KAY","O'CONNELL, PATRICIA KAY",(714) 998-7365,616 EAST GROVE AVENUE,ORANGE,CA,92865,ORANGE,22,6,LICENSED,11/29/1995,,05252025
RESIDENTIAL CARE ELDERLY,342701631,AUTUMN GROVE SENIOR LIVING,ALBASON PROPERTIES LLC,"VALLARTA, VANESSA",(916) 879-6912,10167 MOSAIC WAY,ELK GROVE,CA,95757,SACRAMENTO,27,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,336423366,AUTUMN HILL,"AUTUMN HILL, LLC",CECILIA BARNA,(951) 543-4288,11002 CLEVELAND AVE,RIVERSIDE,CA,92503,RIVERSIDE,18,6,LICENSED,4/17/2008,,05252025
RESIDENTIAL CARE ELDERLY,107208923,AUTUMN HILLS GUEST HOME,"ALEGRE, AMOR A","ALEGRE, AMOR A",(559) 369-9949,5466 E BELMONT AVE,FRESNO,CA,93727,FRESNO,24,4,CLOSED,7/31/2019,8/20/2020,05252025
RESIDENTIAL CARE ELDERLY,197606938,"AUTUMN HILLS RESIDENTIAL HOME, INC.","AUTUMN HILLS RESIDENTIAL HOME, INC.",AUGUSTINE KEHINDE,(661) 943-8194,43129 LEMONWOOD DRIVE,LANCASTER,CA,93536,LOS ANGELES,31,6,LICENSED,4/19/2007,,05252025
RESIDENTIAL CARE ELDERLY,306005337,AUTUMN HOUSE,CADUCEUS ENTERPRISES LLC,"BARRIOS, PEDRO",(714) 321-7883,5729 E SAN JUAN DRIVE,ORANGE,CA,92869,ORANGE,22,6,LICENSED,7/31/2017,,05252025
RESIDENTIAL CARE ELDERLY,565800841,"AUTUMN MANOR, LLC","AUTUMN MANOR, LLC",GIOVANNI FULGENTES,(805) 582-2188,2770 HIGHGATE PL.,SIMI VALLEY,CA,93065,VENTURA,29,6,ON PROBATION,1/29/2002,,05252025
RESIDENTIAL CARE ELDERLY,565800976,"AUTUMN MANOR, LLC #2","AUTUMN MANOR, LLC","FULGENTES, JENNIFER",(805) 526-8629,2365 KENTFIELD ST.,SIMI VALLEY,CA,93065,VENTURA,29,6,LICENSED,5/28/2003,,05252025
RESIDENTIAL CARE ELDERLY,565801486,"AUTUMN MANOR, LLC #3","AUTUMN MANOR, LLC.","FULGENTES, JENNIFER",(805) 527-8281,2747 ATHERWOOD AVENUE,SIMI VALLEY,CA,93065,VENTURA,29,6,ON PROBATION,7/13/2007,,05252025
RESIDENTIAL CARE ELDERLY,306001331,AUTUMN MEADOWS II,"AUTUMN MEADOWS, INC.",RYAN FISK,(949) 916-1830,25875 VIA VIENTO,MISSION VIEJO,CA,92691,ORANGE,22,6,CLOSED,5/14/2001,10/13/2020,05252025
RESIDENTIAL CARE ELDERLY,547203298,AUTUMN OAKS,"R & O MANAGEMENT SERVICES, INC.","ONG, ANTONIO G.",(559) 784-4144,848 N. JAYE STREET,PORTERVILLE,CA,93257,TULARE,24,44,LICENSED,7/24/2007,,05252025
RESIDENTIAL CARE ELDERLY,107206271,AUTUMN RIDGE ASSISTED LIVING,TRINITY RETIRE.SERV.INC&RICH.JENNINGS GP OF A.R.LP,"JAIME, MORY",(559) 842-7727,14280 W. STANISLAUS STREET,KERMAN,CA,93630,FRESNO,24,34,CLOSED,8/18/2009,8/19/2024,05252025
RESIDENTIAL CARE ELDERLY,107209492,AUTUMN RIDGE ASSISTED LIVING,PATHWAY ASSISTED LIVING AUTUMN RIDGE LLC,"DHALIWAL, KAREN",(661) 972-4646,14280 W STANISLAUS AVE,KERMAN,CA,93630,FRESNO,24,54,LICENSED,8/15/2024,,05252025
RESIDENTIAL CARE ELDERLY,374604265,AUTUMN VILLAS ON HONORS DRIVE,"AUTUMN VILLAS ON HONORS DRIVE, LLC",KAREN KANAN,(858) 750-2021,5874 HONORS DRIVE,SAN DIEGO,CA,92122,SAN DIEGO,08,6,CLOSED,1/22/2020,2/15/2022,05252025
RESIDENTIAL CARE ELDERLY,374604524,"AUTUMN VILLAS ON HONORS DRIVE, LLC","AUTUMN VILLAS ON HONORS DRIVE, LLC","KANAN, KAREN",(858) 750-2021,5874 HONORS DRIVE,SAN DIEGO,CA,92122,SAN DIEGO,08,6,LICENSED,2/15/2022,,05252025
RESIDENTIAL CARE ELDERLY,197610472,"AV RCFE, OLDFIELD","AV RCFE, OLDFIELD, INC.","DE GUZMAN,FERNANDO JR.",(661) 418-0425,839 EAST OLDFIELD STREET,LANCASTER,CA,93535,LOS ANGELES,31,6,LICENSED,3/29/2024,,05252025
RESIDENTIAL CARE ELDERLY,019200549,AVA BELLA CARE HOME,AVABELLA CARE HOME LLC,NICOLE MORALES,(510) 324-0444,2483 BALMORAL STREET,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,1/30/2016,,05252025
RESIDENTIAL CARE ELDERLY,486803392,AVALON CARE HOME II,"ATWAL, GURPREET S. & ATWAL, PRITPAL K.","ATWAL, PRITPAL K.",(707) 386-1042,5082 RASMUSSEN WAY,FAIRFIELD,CA,94533,SOLANO,21,6,LICENSED,7/16/2012,,05252025
RESIDENTIAL CARE ELDERLY,306005733,AVALON GUEST MANOR I,PRIME SENIOR CARE HOMES LLC,"SHARIFI, MARYAM FARINAZ",(714) 869-3532,1857 SHEDDON ST,FULLERTON,CA,92833,ORANGE,22,6,CLOSED,12/16/2019,1/19/2024,05252025
RESIDENTIAL CARE ELDERLY,374604489,"AVALON PALM CARE, INC. DBA AVALON PALM","AVALON PALM CARE, INC.","WINBLAD, JASON",(619) 757-3918,3271 INNUIT AVE,SAN DIEGO,CA,92117,SAN DIEGO,08,6,LICENSED,12/22/2021,,05252025
RESIDENTIAL CARE ELDERLY,374601793,AVALON PALMS,"AVALON PALMS, INC","BARFIELD, JULIANA",(858) 775-5918,3271 INNUIT AVE,SAN DIEGO,CA,92117,SAN DIEGO,08,6,CLOSED,4/9/2004,12/22/2021,05252025
RESIDENTIAL CARE ELDERLY,565850418,AVANA HOME OF CAMARILLO,AVANA HOME OF CAMARILLO LLC,"CARBAJAL, JESUSA",(805) 612-4198,574 MURRAY AVENUE,CAMARILLO,CA,93010,VENTURA,29,6,LICENSED,12/12/2023,,05252025
RESIDENTIAL CARE ELDERLY,374604261,AVANTGARDE SENIOR LIVING OF LA JOLLA,AVANTGARDE SENIOR LIVING OF LA JOLLA,"ESCOBAR, AGUSTIN",(818) 692-5284,6211 LA JOLLA HERMOSA AVE,LA JOLLA,CA,92037,SAN DIEGO,08,45,LICENSED,4/27/2020,,05252025
RESIDENTIAL CARE ELDERLY,197608081,AVANTGARDE SENIOR LIVING OF TARZANA,AVANTGARDE SENIOR LIVING,CAROLINA GARCIA-TREJO,(818) 881-0055,5645 LINDLEY AVENUE,TARZANA,CA,91356,LOS ANGELES,31,138,LICENSED,1/27/2011,,05252025
RESIDENTIAL CARE ELDERLY,336425030,AVATAR RETIREMENT HOME,YOLANDA ALKAWASS,JAMAL ALKAWASS,(760) 340-5191,44645 SAN ONOFRE AVENUE,PALM DESERT,CA,92260,RIVERSIDE,18,10,LICENSED,6/23/2011,,05252025
RESIDENTIAL CARE ELDERLY,421703043,AVE'S BOARD AND CARE,"AVE, LINDA",THELMA TABLADA,(805) 332-3139,111 CRESCENT AVE,SANTA MARIA,CA,93455,SANTA BARBARA,29,6,LICENSED,3/11/1985,,05252025
RESIDENTIAL CARE ELDERLY,275294335,AVE MARIA RCFE #1,AVE MARIA CONVALESCENT HOSPITAL INC,BARBARA REID,(831) 373-1216,1249 JOSSELYN CANYON ROAD,MONTEREY,CA,93940,MONTEREY,24,49,CLOSED,12/21/2009,5/26/2023,05252025
RESIDENTIAL CARE ELDERLY,275294336,AVE MARIA RCFE #2,AVE MARIA CONVALESCENT HOSPITAL INC,BARBARA REID,(831) 373-1216,1257 JOSSELYN CANYON ROAD,MONTEREY,CA,93940,MONTEREY,24,9,CLOSED,12/21/2009,11/6/2021,05252025
RESIDENTIAL CARE ELDERLY,197602507,AVE OF THE BELLS,RESEDA HOME FOR THE ELDERLY INC.,"KAHROS, ATHINA",(818) 340-4652,5826 JUMILLA AVE.,WOODLAND HILLS,CA,91367,LOS ANGELES,29,6,CLOSED,11/8/1999,1/21/2021,05252025
RESIDENTIAL CARE ELDERLY,486800091,AVELINA FRANCISCA CARE HOME II,"BAYLEN, FLORES","BAYLEN, FLORES",(707) 645-1444,107 SANDPIPER DRIVE,VALLEJO,CA,94589,SOLANO,21,6,CLOSED,11/14/1994,11/16/2023,05252025
RESIDENTIAL CARE ELDERLY,331880847,AVENIDA ANILLO PLACE,"COMMUNITY CARE PROFESSIONALS, LLC","STOREY, CARMEN",(951) 388-4428,15364 AVENIDA ANILLO,MORENO VALLEY,CA,92555,RIVERSIDE,18,3,CLOSED,2/28/2020,2/17/2022,05252025
RESIDENTIAL CARE ELDERLY,331880592,AVENIDA CARE VILLA,"AVENIDA CARE VILLA, INC.","MARTINEZ, VILMA",(951) 807-3304,20332 AVENIDA HACIENDA,RIVERSIDE,CA,92508,RIVERSIDE,18,6,CLOSED,4/15/2019,1/23/2024,05252025
RESIDENTIAL CARE ELDERLY,331880911,AVENIDA GUEST HOME,A-CLASS HOME CARE SERVICES,"BROWN, PRESCILA",(909) 576-8889,26112 AVENIDA HORTENSIA,HEMET,CA,92544,RIVERSIDE,18,6,CLOSED,,12/2/2020,05252025
RESIDENTIAL CARE ELDERLY,197608379,"AVENIDA VILLA, INC.","AVENIDA VILLA, INC.",PHILLIP ROMERO,(310) 930-6455,1803 AVENIDA FELICIANO,RANCHO PALOS VERDES,CA,90275,LOS ANGELES,11,6,LICENSED,12/12/2012,,05252025
RESIDENTIAL CARE ELDERLY,198320184,AVENIR MEMORY CARE WESTSIDE,"AMCLA GP INC. ; AVENIR SENIOR LIVING, LLC",JODI KANOWITZ,(424) 282-0040,7501 OSAGE AVE,LOS ANGELES,CA,90045,LOS ANGELES,11,88,LICENSED,10/1/2021,,05252025
RESIDENTIAL CARE ELDERLY,197610707,AVERIE MANOR,AVERIE MANOR INC,"JOSEPH, ABRAHAM",(323) 788-0866,23241 VIA CALISERO,VALENCIA,CA,91355,LOS ANGELES,31,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,331881454,AVERY GARDEN ASSISTED LIVING-RIVERSIDE,AVERY GARDEN ASSISTED LIVING-RIVERSIDE,"THOMAS, LINDA",(818) 515-9279,7675 WOODVIEW ST,RIVERSIDE,CA,92506,RIVERSIDE,18,6,LICENSED,2/27/2024,,05252025
RESIDENTIAL CARE ELDERLY,331880531,AVERY GARDEN ASSISTED LIVING INC.,AVERY GARDEN ASSISTED LIVING INC,"THOMAS, LINDA",(951) 934-3140,5377 FULMER COURT,JURUPA VALLEY,CA,91752,RIVERSIDE,56,6,LICENSED,11/8/2018,,05252025
RESIDENTIAL CARE ELDERLY,331881273,"AVERY GARDEN SENIOR CARE HOME, INC.","AVERY GARDEN SENIOR CARE HOME, INC.","THOMAS, LINDA",(818) 515-9279,26600 IRONWOOD AVE.,MORENO VALLEY,CA,92555,RIVERSIDE,18,8,LICENSED,3/28/2022,,05252025
RESIDENTIAL CARE ELDERLY,198320105,AVIATION GUEST HOME,"MANHATTAN BEACH GUEST HOME, INC.","DEMAFELIX, JEHN MARIC",(310) 533-1131,317 S. AVIATION BLVD,MANHATTAN BEACH,CA,90266,LOS ANGELES,11,6,LICENSED,3/3/2021,,05252025
RESIDENTIAL CARE ELDERLY,405850034,AVILA SENIOR LIVING AT DOWNTOWN SLO,"PACIFICA SLO LLC & PACIFICA SENIOR LVG MGT, LLC.",DARLENE MARKHAM,(805) 541-4222,475 MARSH ST,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,29,100,CLOSED,2/14/2020,5/2/2025,05252025
